ID_PRUEBA,N,T_TOTAL
1,250,1504790
1,500,4372510
1,750,6439968
1,1000,9104350
1,1500,30550236
1,2000,58861752
1,2550,43143126
1,3000,62736112
2,250,1926810
2,500,3666758
2,750,6392456
2,1000,14578244
2,1500,22498834
2,2000,70868788
2,2550,62405518
2,3000,65867656
3,250,2169766
3,500,4448794
3,750,9656386
3,1000,13292174
3,1500,39828780
3,2000,28999378
3,2550,44976938
3,3000,67383102
4,250,1958774
4,500,3226414
4,750,4858548
4,1000,9031554
4,1500,37467886
4,2000,48490334
4,2550,47541246
4,3000,65337452
5,250,1854392
5,500,4204216
5,750,8873158
5,1000,25791208
5,1500,37994100
5,2000,27989946
5,2550,66847228
5,3000,58419538
6,250,1592674
6,500,9267236
6,750,5616490
6,1000,30663766
6,1500,18277278
6,2000,37615140
6,2550,68743640
6,3000,68469958
7,250,2704466
7,500,4474770
7,750,5662388
7,1000,9536050
7,1500,26231814
7,2000,52641210
7,2550,51643358
7,3000,61233024
8,250,2186326
8,500,5715274
8,750,6327082
8,1000,10394072
8,1500,38027612
8,2000,42177420
8,2550,43697980
8,3000,64072184
9,250,1976234
9,500,6060714
9,750,5625850
9,1000,7779606
9,1500,26908108
9,2000,28344548
9,2550,52765190
9,3000,64646130
10,250,1612632
10,500,3488772
10,750,6914160
10,1000,32982882
10,1500,46400658
10,2000,30175728
10,2550,48220368
10,3000,61445184
11,250,1988060
11,500,3563194
11,750,5657706
11,1000,9601660
11,1500,16989566
11,2000,52084944
11,2550,56350480
11,3000,65036960
12,250,1858548
12,500,4644892
12,750,4793828
12,1000,24492828
12,1500,18970222
12,2000,53032476
12,2550,71763362
12,3000,61458456
13,250,1529464
13,500,5767318
13,750,6140530
13,1000,10455656
13,1500,43740220
13,2000,29276222
13,2550,50408026
13,3000,73532680
14,250,1820120
14,500,4750606
14,750,7124332
14,1000,12921414
14,1500,39000100
14,2000,27688202
14,2550,47082146
14,3000,60085880
15,250,1858930
15,500,4540966
15,750,6257750
15,1000,27015540
15,1500,40329082
15,2000,51322502
15,2550,48259510
15,3000,64152868
16,250,1525284
16,500,4122208
16,750,6831708
16,1000,8433448
16,1500,16238576
16,2000,31193932
16,2550,62453524
16,3000,58889092
17,250,1883894
17,500,9445708
17,750,5827360
17,1000,30819416
17,1500,44063090
17,2000,25163190
17,2550,47909922
17,3000,62092016
18,250,2553728
18,500,4050258
18,750,6816694
18,1000,9328288
18,1500,20131400
18,2000,56251374
18,2550,56867404
18,3000,61045348
19,250,2444056
19,500,4306596
19,750,5201112
19,1000,11244506
19,1500,23367670
19,2000,55755084
19,2550,70350214
19,3000,63288598
20,250,2106126
20,500,6002336
20,750,5099296
20,1000,11494932
20,1500,19591324
20,2000,58227398
20,2550,65849374
20,3000,68912204
