ID_PRUEBA,N,T_TOTAL
1,250,832054
1,500,2320402
1,750,4568972
1,1000,10533552
1,1500,17048230
1,2000,55989288
1,2550,50165760
1,3000,71893320
2,250,703146
2,500,2420898
2,750,4437488
2,1000,10294674
2,1500,33556432
2,2000,43379728
2,2550,51531502
2,3000,68450276
3,250,1287260
3,500,2236952
3,750,4327966
3,1000,11547304
3,1500,21925174
3,2000,37630044
3,2550,49875942
3,3000,75178984
4,250,785920
4,500,2458464
4,750,4539590
4,1000,10252844
4,1500,43612692
4,2000,55871296
4,2550,80468286
4,3000,70557476
5,250,880586
5,500,2146206
5,750,5142700
5,1000,9932002
5,1500,38809698
5,2000,45309106
5,2550,50109946
5,3000,69532490
6,250,846984
6,500,2333062
6,750,8186326
6,1000,26940714
6,1500,30777050
6,2000,30791220
6,2550,56442530
6,3000,72794948
7,250,864960
7,500,2123964
7,750,5231466
7,1000,11395396
7,1500,27533338
7,2000,50967334
7,2550,50927488
7,3000,72629350
8,250,785562
8,500,2706912
8,750,4575892
8,1000,9714470
8,1500,39110154
8,2000,40018828
8,2550,51642196
8,3000,67539288
9,250,845084
9,500,2524066
9,750,4381722
9,1000,11254056
9,1500,20389750
9,2000,54041450
9,2550,71858178
9,3000,71828070
10,250,1017846
10,500,2160026
10,750,5014868
10,1000,11902946
10,1500,18673506
10,2000,59501596
10,2550,52328660
10,3000,74650280
11,250,779130
11,500,2237012
11,750,4785492
11,1000,12975538
11,1500,18705724
11,2000,44117758
11,2550,54893020
11,3000,71511144
12,250,789296
12,500,2797642
12,750,4677018
12,1000,14955508
12,1500,24563710
12,2000,49403342
12,2550,62969760
12,3000,71617398
13,250,819356
13,500,2443922
13,750,6620738
13,1000,8325612
13,1500,38632616
13,2000,31707164
13,2550,67275728
13,3000,73143826
14,250,785694
14,500,2213474
14,750,5030754
14,1000,8335890
14,1500,20003978
14,2000,58227192
14,2550,51622040
14,3000,71739584
15,250,929746
15,500,2285906
15,750,4643416
15,1000,8932108
15,1500,47598356
15,2000,60004300
15,2550,64732002
15,3000,72976402
16,250,977948
16,500,2330188
16,750,5958108
16,1000,9485560
16,1500,18572556
16,2000,33063406
16,2550,61812426
16,3000,74233222
17,250,741214
17,500,2117332
17,750,5630390
17,1000,9516050
17,1500,20498092
17,2000,57475994
17,2550,51932934
17,3000,66877238
18,250,862862
18,500,2391690
18,750,4575710
18,1000,9793240
18,1500,37154468
18,2000,37306874
18,2550,51706604
18,3000,72833252
19,250,752864
19,500,2122810
19,750,4696882
19,1000,29297040
19,1500,23051392
19,2000,33686508
19,2550,61053450
19,3000,71808374
20,250,1265178
20,500,2290852
20,750,5188816
20,1000,12834148
20,1500,22693064
20,2000,35642166
20,2550,52012818
20,3000,71732188
