ID_PRUEBA,N,T_TOTAL
1,250,3173464
1,500,11749413
1,750,29648147
1,1000,60876176
1,1500,143109613
1,2000,171606064
1,2550,211545906
1,3000,294691617
2,250,1692748
2,500,7094398
2,750,13885879
2,1000,41356766
2,1500,125396761
2,2000,143463327
2,2550,216406022
2,3000,277328236
3,250,2161450
3,500,13877289
3,750,14077424
3,1000,42143266
3,1500,146137660
3,2000,161289640
3,2550,242526585
3,3000,277830381
4,250,1699343
4,500,15998011
4,750,40478330
4,1000,63780060
4,1500,116909919
4,2000,150182685
4,2550,208313580
4,3000,296779674
5,250,1629320
5,500,12073806
5,750,53079635
5,1000,55175498
5,1500,108839796
5,2000,171593052
5,2550,219555475
5,3000,270047133
6,250,1702646
6,500,10339510
6,750,21206404
6,1000,10545264
6,1500,141130251
6,2000,161358365
6,2550,214499255
6,3000,280676655
7,250,3263080
7,500,16093556
7,750,31619559
7,1000,58254029
7,1500,110418281
7,2000,183695094
7,2550,224124091
7,3000,277269779
8,250,1649280
8,500,6323248
8,750,30717856
8,1000,64801446
8,1500,114468109
8,2000,178988280
8,2550,216219211
8,3000,295203709
9,250,1642140
9,500,10713573
9,750,31103213
9,1000,62645320
9,1500,116848922
9,2000,179808268
9,2550,219439978
9,3000,288683617
10,250,1766965
10,500,10497909
10,750,27790573
10,1000,49067959
10,1500,133223641
10,2000,178309820
10,2550,226626488
10,3000,287936300
11,250,1699755
11,500,18171167
11,750,24845652
11,1000,44046716
11,1500,133900351
11,2000,152669836
11,2550,219607938
11,3000,301114602
12,250,1897896
12,500,19297353
12,750,42602277
12,1000,61268129
12,1500,131245591
12,2000,178349249
12,2550,223926314
12,3000,277905566
13,250,1632160
13,500,13214779
13,750,26599698
13,1000,54169436
13,1500,96021849
13,2000,157369655
13,2550,206854250
13,3000,279765518
14,250,1757690
14,500,16552153
14,750,23008661
14,1000,63429998
14,1500,124837687
14,2000,182415507
14,2550,223064279
14,3000,289043933
15,250,1634118
15,500,8190036
15,750,31333681
15,1000,71116693
15,1500,107747677
15,2000,172995060
15,2550,219462588
15,3000,296963797
16,250,1695754
16,500,9799516
16,750,31558598
16,1000,53163749
16,1500,105334403
16,2000,154459413
16,2550,240224166
16,3000,268087127
17,250,1744632
17,500,10197317
17,750,28829299
17,1000,68028057
17,1500,112366050
17,2000,170082200
17,2550,216154606
17,3000,279222685
18,250,1634714
18,500,12917676
18,750,35970379
18,1000,77274864
18,1500,98784863
18,2000,148962783
18,2550,234118481
18,3000,285592704
19,250,1721671
19,500,10492327
19,750,32478515
19,1000,52002120
19,1500,117934737
19,2000,244123307
19,2550,220318780
19,3000,269111249
20,250,1631014
20,500,6152846
20,750,32776273
20,1000,63245307
20,1500,124707614
20,2000,167441236
20,2550,232616321
20,3000,279497748
1,250,1794140
1,500,6317664
1,750,18826942
1,1000,91943815
1,1500,105326292
1,2000,141527317
1,2550,214956462
1,3000,276760315
2,250,1775918
2,500,6500076
2,750,15556893
2,1000,77944733
2,1500,135492946
2,2000,169979045
2,2550,216499839
2,3000,283786067
3,250,1892997
3,500,12389147
3,750,34226639
3,1000,68574487
3,1500,78748078
3,2000,158495208
3,2550,216903502
3,3000,296159911
4,250,1793940
4,500,11129232
4,750,13883199
4,1000,41855602
4,1500,125734285
4,2000,171644877
4,2550,217549880
4,3000,280511238
5,250,1780336
5,500,6382642
