ID_PRUEBA,N,T_TOTAL
1,250,932050
1,500,15073866
1,750,13314784
1,1000,58254006
1,1500,20672618
1,2000,103099638
1,2550,41122784
1,3000,52242238
2,250,726728
2,500,7275708
2,750,4795730
2,1000,34724770
2,1500,67447464
2,2000,55877212
2,2550,56765362
2,3000,69940666
3,250,798288
3,500,2091012
3,750,9330322
3,1000,51522774
3,1500,74102178
3,2000,63132190
3,2550,81447036
3,3000,48321262
4,250,826094
4,500,3880424
4,750,4279476
4,1000,40525852
4,1500,40901260
4,2000,26422406
4,2550,90373814
4,3000,64046446
5,250,813552
5,500,2864930
5,750,43282218
5,1000,29462784
5,1500,31211556
5,2000,65407720
5,2550,83520756
5,3000,52358078
6,250,765476
6,500,5313086
6,750,4970762
6,1000,42527388
6,1500,60493716
6,2000,58275894
6,2550,86427538
6,3000,61626352
7,250,819660
7,500,4297822
7,750,4338994
7,1000,38821052
7,1500,85435166
7,2000,36641220
7,2550,44585078
7,3000,57029808
8,250,1068230
8,500,3991772
8,750,4321916
8,1000,17144080
8,1500,20476572
8,2000,66421492
8,2550,72578482
8,3000,58205670
9,250,781786
9,500,3505472
9,750,4837750
9,1000,14280510
9,1500,53935560
9,2000,61564076
9,2550,91955938
9,3000,54034942
10,250,871710
10,500,4473580
10,750,4144900
10,1000,6413602
10,1500,46107950
10,2000,32723196
10,2550,44345684
10,3000,57769160
11,250,818226
11,500,8715538
11,750,4697044
11,1000,31142216
11,1500,43722746
11,2000,29116268
11,2550,46698312
11,3000,63301042
12,250,793190
12,500,3507264
12,750,8877806
12,1000,6929502
12,1500,22325914
12,2000,54966556
12,2550,47911504
12,3000,52900346
13,250,786134
13,500,2190822
13,750,4147312
13,1000,14770512
13,1500,37341154
13,2000,55443180
13,2550,74183710
13,3000,61866172
14,250,715216
14,500,6595796
14,750,4693816
14,1000,7366762
14,1500,26746730
14,2000,50399444
14,2550,40656578
14,3000,55350504
15,250,733022
15,500,4907954
15,750,3968466
15,1000,42819132
15,1500,47840598
15,2000,52636980
15,2550,43681684
15,3000,59474566
16,250,828938
16,500,2228386
16,750,15914670
16,1000,12665646
16,1500,49812958
16,2000,54960548
16,2550,39809208
16,3000,59205814
17,250,837776
17,500,2750708
17,750,15628880
17,1000,38720902
17,1500,48057502
17,2000,63731454
17,2550,40071498
17,3000,61693472
18,250,738202
18,500,3733374
18,750,4204310
18,1000,8177312
18,1500,22462924
18,2000,57429020
18,2550,45548952
18,3000,54060824
19,250,968276
19,500,2147382
19,750,9891652
19,1000,44929492
19,1500,36713172
19,2000,55623416
19,2550,66627286
19,3000,62646466
20,250,738750
20,500,4063674
20,750,8835608
20,1000,8768738
20,1500,53911644
20,2000,60071222
20,2550,39958840
20,3000,59424898
