ID_PRUEBA,N,T_TOTAL
1,250,901418
1,500,5120798
1,750,10976388
1,1000,17386134
1,1500,36829018
1,2000,68713336
1,2550,105421232
1,3000,132240646
2,250,865912
2,500,3655602
2,750,8131580
2,1000,15682350
2,1500,37333036
2,2000,62515484
2,2550,101830376
2,3000,131816138
3,250,864458
3,500,3620632
3,750,8064678
3,1000,15733388
3,1500,38920510
3,2000,63685120
3,2550,103701530
3,3000,132567012
4,250,1018224
4,500,3451682
4,750,8500732
4,1000,15696570
4,1500,47308674
4,2000,63958052
4,2550,97692166
4,3000,131172846
5,250,865944
5,500,3541086
5,750,8158240
5,1000,14703210
5,1500,32689486
5,2000,63911312
5,2550,105395984
5,3000,134412614
6,250,891182
6,500,3942708
6,750,7996870
6,1000,17084486
6,1500,34827694
6,2000,62750568
6,2550,98584094
6,3000,132503960
7,250,867082
7,500,4151266
7,750,8744298
7,1000,14778456
7,1500,51776948
7,2000,61478214
7,2550,104426212
7,3000,171390142
8,250,866438
8,500,3659546
8,750,8066210
8,1000,15531950
8,1500,34667440
8,2000,63717952
8,2550,97741602
8,3000,132380834
9,250,870406
9,500,3835464
9,750,8507732
9,1000,15334262
9,1500,34334876
9,2000,65735570
9,2550,101655712
9,3000,132538680
10,250,1013706
10,500,3433546
10,750,8124066
10,1000,14980102
10,1500,39165134
10,2000,64911426
10,2550,99988788
10,3000,131854480
11,250,888506
11,500,3670188
11,750,8304864
11,1000,22813866
11,1500,45157548
11,2000,58377744
11,2550,103889336
11,3000,132758512
12,250,949006
12,500,3644308
12,750,8388112
12,1000,16042488
12,1500,40456944
12,2000,65033884
12,2550,102053654
12,3000,134863776
13,250,866682
13,500,4077182
13,750,8354286
13,1000,14730222
13,1500,36983458
13,2000,66865850
13,2550,101570820
13,3000,133991254
14,250,870276
14,500,3900672
14,750,8344586
14,1000,14428032
14,1500,34714060
14,2000,67885708
14,2550,99006718
14,3000,132342434
15,250,1110394
15,500,3663242
15,750,8359114
15,1000,15255332
15,1500,34510604
15,2000,66645240
15,2550,104359676
15,3000,131870490
16,250,899808
16,500,5170684
16,750,8380096
16,1000,18302898
16,1500,35603830
16,2000,68477732
16,2550,96168364
16,3000,133890432
17,250,878502
17,500,3917426
17,750,8280676
17,1000,20276320
17,1500,42249504
17,2000,59118590
17,2550,100012816
17,3000,132826484
18,250,880562
18,500,3731972
18,750,8165816
18,1000,15127770
18,1500,43736300
18,2000,73806502
18,2550,103657066
18,3000,132744394
19,250,872790
19,500,4132834
19,750,8203790
19,1000,15256688
19,1500,36871704
19,2000,70029696
19,2550,104443138
19,3000,134800172
20,250,868472
20,500,3934664
20,750,8356550
20,1000,15064250
20,1500,37551052
20,2000,62167094
20,2550,102571634
20,3000,131205336
