ID_PRUEBA,N,T_TOTAL
1,250,2137138
1,500,3788894
1,750,8371152
1,1000,11018716
1,1500,40159492
1,2000,23033198
1,2550,62388620
1,3000,69257862
2,250,3152478
2,500,9208480
2,750,6223976
2,1000,32545540
2,1500,37982328
2,2000,26598068
2,2550,65354838
2,3000,69473766
3,250,1996496
3,500,8301526
3,750,5555996
3,1000,32459606
3,1500,17406472
3,2000,57163454
3,2550,47588456
3,3000,62608314
4,250,2290016
4,500,5297570
4,750,6514252
4,1000,17992764
4,1500,21050192
4,2000,46617050
4,2550,58522060
4,3000,59346980
5,250,2566688
5,500,9333368
5,750,5143390
5,1000,9283992
5,1500,24252680
5,2000,45943532
5,2550,62631782
5,3000,59694124
6,250,2025674
6,500,4841302
6,750,8241188
6,1000,35341264
6,1500,46562604
6,2000,30104654
6,2550,63747318
6,3000,56898980
7,250,2260782
7,500,4040362
7,750,5310042
7,1000,32789808
7,1500,40988488
7,2000,32604300
7,2550,53997652
7,3000,63508550
8,250,1960752
8,500,4101074
8,750,6814486
8,1000,10493994
8,1500,19465450
8,2000,49046150
8,2550,61822506
8,3000,63803344
9,250,1905182
9,500,6834308
9,750,10217464
9,1000,12435268
9,1500,41921416
9,2000,52175580
9,2550,62939914
9,3000,57489584
10,250,2552422
10,500,4639492
10,750,8265370
10,1000,32915088
10,1500,42037938
10,2000,26201702
10,2550,44341386
10,3000,68719842
11,250,2262386
11,500,6033514
11,750,9631594
11,1000,8630568
11,1500,20365286
11,2000,54252320
11,2550,57083132
11,3000,67972122
12,250,2326080
12,500,4503410
12,750,6286388
12,1000,35355302
12,1500,40601164
12,2000,36113826
12,2550,57676652
12,3000,71690490
13,250,2118308
13,500,5293300
13,750,8899746
13,1000,9211798
13,1500,22951384
13,2000,47239924
13,2550,51842858
13,3000,55680128
14,250,2113888
14,500,6411116
14,750,6950300
14,1000,9321870
14,1500,21655646
14,2000,59303786
14,2550,60389286
14,3000,58610470
15,250,2035676
15,500,5155100
15,750,8396580
15,1000,9611786
15,1500,19948054
15,2000,53803830
15,2550,74502786
15,3000,61599998
16,250,1911652
16,500,4854674
16,750,5511816
16,1000,9401158
16,1500,19491660
16,2000,51225666
16,2550,52434730
16,3000,59397162
17,250,2382492
17,500,10843804
17,750,4926210
17,1000,30201942
17,1500,34260888
17,2000,36424802
17,2550,46343962
17,3000,56799168
18,250,2588544
18,500,4890024
18,750,6628924
18,1000,10513668
18,1500,14760224
18,2000,47922824
18,2550,72761960
18,3000,62904114
19,250,2026430
19,500,3155392
19,750,6011830
19,1000,22796354
19,1500,50012692
19,2000,42280806
19,2550,60291572
19,3000,59158342
20,250,2103778
20,500,6340968
20,750,6468700
20,1000,42411812
20,1500,18171904
20,2000,49803710
20,2550,56157814
20,3000,66839654
