ID_PRUEBA,N,T_TOTAL
1,250,857288
1,500,3749198
1,750,8642204
1,1000,16913070
1,1500,47360036
1,2000,72869324
1,2550,105697942
1,3000,132587022
2,250,856822
2,500,3608526
2,750,8599566
2,1000,18243226
2,1500,46323040
2,2000,76776012
2,2550,99172976
2,3000,139881150
3,250,960656
3,500,3693528
3,750,10026138
3,1000,15264498
3,1500,37757866
3,2000,69290178
3,2550,100972744
3,3000,133268542
4,250,1134370
4,500,3986876
4,750,13849660
4,1000,26961814
4,1500,37194872
4,2000,60286698
4,2550,101596284
4,3000,133930504
5,250,963798
5,500,3825586
5,750,8316030
5,1000,15357730
5,1500,35649224
5,2000,69183802
5,2550,98100442
5,3000,132183268
6,250,857196
6,500,3451454
6,750,8281864
6,1000,15460588
6,1500,37728400
6,2000,77191568
6,2550,99912628
6,3000,131254494
7,250,858716
7,500,3662408
7,750,8172480
7,1000,15289688
7,1500,43091628
7,2000,66721036
7,2550,104542388
7,3000,139105206
8,250,856044
8,500,3750032
8,750,8787460
8,1000,17230194
8,1500,35349178
8,2000,75200580
8,2550,102235158
8,3000,133767136
9,250,857536
9,500,3989422
9,750,8107178
9,1000,15863764
9,1500,35543674
9,2000,79106832
9,2550,106842504
9,3000,133461008
10,250,857492
10,500,3719034
10,750,7885320
10,1000,37031610
10,1500,39931410
10,2000,64216770
10,2550,105706956
10,3000,136843502
11,250,918764
11,500,3795956
11,750,9552038
11,1000,15114176
11,1500,41257000
11,2000,62742714
11,2550,103053108
11,3000,132493084
12,250,857434
12,500,3576560
12,750,8578158
12,1000,14351658
12,1500,39274038
12,2000,63431644
12,2550,98012114
12,3000,132604766
13,250,859630
13,500,3646194
13,750,8131914
13,1000,15785938
13,1500,36145902
13,2000,67445156
13,2550,103708476
13,3000,136499054
14,250,975502
14,500,4037122
14,750,8473154
14,1000,26139162
14,1500,52064664
14,2000,62021632
14,2550,95703444
14,3000,132635216
15,250,854554
15,500,3444956
15,750,8245984
15,1000,15657012
15,1500,33304024
15,2000,68267690
15,2550,102291514
15,3000,131708660
16,250,856862
16,500,3797080
16,750,8202176
16,1000,18850160
16,1500,51494838
16,2000,61511308
16,2550,105660330
16,3000,133544664
17,250,855986
17,500,3538872
17,750,8058864
17,1000,15324456
17,1500,36451180
17,2000,70734420
17,2550,102350446
17,3000,134462764
18,250,963234
18,500,3802082
18,750,8974904
18,1000,15084582
18,1500,35281162
18,2000,74807966
18,2550,104898414
18,3000,132925990
19,250,1072542
19,500,3475474
19,750,10485454
19,1000,14943840
19,1500,34340666
19,2000,65558008
19,2550,101623962
19,3000,133452376
20,250,855922
20,500,4293974
20,750,7940432
20,1000,19383386
20,1500,35279402
20,2000,74611302
20,2550,101869456
20,3000,132553452
