ID_PRUEBA,N,T_TOTAL
1,250,4126412
1,500,18316340
1,750,42100810
1,1000,87416988
1,1500,178691684
1,2000,306213110
1,2550,478238212
1,3000,652802874
2,250,4349190
2,500,17304976
2,750,41977084
2,1000,90457162
2,1500,178522074
2,2000,306216350
2,2550,474272416
2,3000,659690378
3,250,4249338
3,500,18066602
3,750,46446334
3,1000,82100712
3,1500,177298452
3,2000,311326680
3,2550,458883840
3,3000,648780844
4,250,4734706
4,500,17547884
4,750,47256294
4,1000,87140194
4,1500,179428450
4,2000,303026358
4,2550,472697038
4,3000,643445208
5,250,4223768
5,500,19009330
5,750,52538618
5,1000,87110570
5,1500,183668534
5,2000,303134418
5,2550,472999518
5,3000,638570606
6,250,4186718
6,500,18621634
6,750,45488760
6,1000,84298736
6,1500,184875872
6,2000,308443118
6,2550,486028900
6,3000,653063352
7,250,4432318
7,500,17627054
7,750,44560044
7,1000,79751774
7,1500,183554214
7,2000,306868498
7,2550,460939392
7,3000,648576270
8,250,4536340
8,500,17244056
8,750,47003622
8,1000,86259286
8,1500,182143142
8,2000,307339744
8,2550,475114640
8,3000,645946120
9,250,4297964
9,500,17213362
9,750,43334108
9,1000,88320862
9,1500,181802006
9,2000,306298644
9,2550,470516310
9,3000,650735064
10,250,4439386
10,500,17625682
10,750,41820522
10,1000,90374210
10,1500,177526274
10,2000,304689064
10,2550,465918328
10,3000,649592228
11,250,4345898
11,500,17254582
11,750,47225840
11,1000,86515618
11,1500,179183266
11,2000,303935404
11,2550,474695562
11,3000,653811678
12,250,4115934
12,500,17541552
12,750,51228164
12,1000,82945466
12,1500,174751742
12,2000,301157722
12,2550,466673834
12,3000,651816492
13,250,4328312
13,500,18006396
13,750,55164322
13,1000,87647430
13,1500,180432148
13,2000,312680538
13,2550,462038260
13,3000,664509350
14,250,4197494
14,500,18490832
14,750,41796894
14,1000,96230296
14,1500,174984342
14,2000,302268516
14,2550,469090758
14,3000,644309412
15,250,4362814
15,500,18536282
15,750,43748096
15,1000,82484740
15,1500,172617028
15,2000,304805400
15,2550,458237258
15,3000,645401392
16,250,4319158
16,500,17924646
16,750,43990102
16,1000,82822966
16,1500,178662662
16,2000,316415566
16,2550,469802676
16,3000,673430944
17,250,4290766
17,500,16610948
17,750,48301474
17,1000,83619022
17,1500,185485458
17,2000,314219152
17,2550,472679298
17,3000,653872658
18,250,4479298
18,500,17531436
18,750,52052554
18,1000,82165680
18,1500,182889370
18,2000,301398594
18,2550,459031918
18,3000,648281884
19,250,4419358
19,500,18806018
19,750,45508896
19,1000,83886290
19,1500,177093714
19,2000,305658120
19,2550,459665102
19,3000,658961814
20,250,4350860
20,500,17678694
20,750,45589652
20,1000,84119014
20,1500,186896828
20,2000,301997354
20,2550,465882478
20,3000,651163080
