ID_PRUEBA,N,T_TOTAL
1,250,994404
1,500,4535698
1,750,8054920
1,1000,18218876
1,1500,49572910
1,2000,66429828
1,2550,103863766
1,3000,122363490
2,250,1075700
2,500,3436208
2,750,6949038
2,1000,14538194
2,1500,41218948
2,2000,72950516
2,2550,88833428
2,3000,122826096
3,250,693792
3,500,3508768
3,750,7883818
3,1000,12432050
3,1500,41650594
3,2000,67965814
3,2550,98322738
3,3000,132582074
4,250,836478
4,500,3017518
4,750,7080572
4,1000,12956098
4,1500,38006982
4,2000,74956764
4,2550,105990272
4,3000,132226690
5,250,691344
5,500,2889832
5,750,7955602
5,1000,14653822
5,1500,38939010
5,2000,69940348
5,2550,102418382
5,3000,127266654
6,250,691152
6,500,3146700
6,750,7035066
6,1000,14646140
6,1500,30579990
6,2000,59742518
6,2550,102913506
6,3000,130415548
7,250,867844
7,500,4221520
7,750,8043476
7,1000,16898268
7,1500,47939886
7,2000,63350782
7,2550,94675860
7,3000,131626036
8,250,813978
8,500,2889984
8,750,7144420
8,1000,17323508
8,1500,34488252
8,2000,60607706
8,2550,108884986
8,3000,130135156
9,250,1280838
9,500,2997756
9,750,11634686
9,1000,21145748
9,1500,45218902
9,2000,76129414
9,2550,97705338
9,3000,138583898
10,250,982224
10,500,4027910
10,750,8328996
10,1000,14204750
10,1500,34378498
10,2000,87318316
10,2550,95903008
10,3000,135633000
11,250,938880
11,500,5054046
11,750,7025086
11,1000,14631648
11,1500,33019824
11,2000,72120580
11,2550,93188802
11,3000,133691186
12,250,785668
12,500,3232308
12,750,8658122
12,1000,18268864
12,1500,76232566
12,2000,78880832
12,2550,100285220
12,3000,148838386
13,250,835026
13,500,3143890
13,750,10189304
13,1000,18166194
13,1500,32718466
13,2000,68995284
13,2550,92071642
13,3000,139811792
14,250,691358
14,500,3190404
14,750,9449972
14,1000,14120042
14,1500,35441318
14,2000,72647678
14,2550,107216140
14,3000,135800182
15,250,721966
15,500,2881036
15,750,8351236
15,1000,18030872
15,1500,30907162
15,2000,85766392
15,2550,109320676
15,3000,130115860
16,250,723996
16,500,2913980
16,750,12578038
16,1000,16072166
16,1500,41569816
16,2000,68415570
16,2550,104982774
16,3000,144367028
17,250,793610
17,500,3067192
17,750,7187506
17,1000,13841648
17,1500,42696182
17,2000,76927064
17,2550,95709280
17,3000,149013632
18,250,734482
18,500,2927284
18,750,7293562
18,1000,14000844
18,1500,70545634
18,2000,81504202
18,2550,103427980
18,3000,131875344
19,250,1633472
19,500,5889356
19,750,9118028
19,1000,15378244
19,1500,46315068
19,2000,66806288
19,2550,102071446
19,3000,124896744
20,250,720592
20,500,3552650
20,750,7572914
20,1000,13925102
20,1500,34216442
20,2000,70815782
20,2550,91900934
20,3000,136770552
