ID_PRUEBA,N,T_TOTAL
1,250,4486474
1,500,27208336
1,750,50738869
1,1000,106938091
1,1500,205319376
1,2000,289333277
1,2550,452922432
1,3000,607785383
2,250,5108402
2,500,22585816
2,750,53655188
2,1000,92108906
2,1500,199188863
2,2000,312284245
2,2550,438169672
2,3000,643192476
3,250,3848664
3,500,21933073
3,750,53460942
3,1000,92981920
3,1500,188044996
3,2000,301618273
3,2550,439202025
3,3000,681309902
4,250,4913305
4,500,20544564
4,750,48319652
4,1000,91760814
4,1500,196917998
4,2000,309777130
4,2550,449850682
4,3000,636954046
5,250,4217876
5,500,24682613
5,750,55449336
5,1000,93264901
5,1500,202545789
5,2000,283208405
5,2550,468103959
5,3000,605214809
6,250,3767730
6,500,24281041
6,750,44375983
6,1000,89164135
6,1500,188709961
6,2000,312730898
6,2550,434730347
6,3000,606319837
7,250,4106710
7,500,21915943
7,750,54352603
7,1000,91458216
7,1500,189597574
7,2000,310176879
7,2550,440318028
7,3000,624822791
8,250,3765816
8,500,22252964
8,750,54376923
8,1000,92736133
8,1500,181548549
8,2000,292708874
8,2550,491054154
8,3000,615927973
9,250,4106238
9,500,23775914
9,750,62519639
9,1000,91128263
9,1500,187476703
9,2000,302621791
9,2550,458605848
9,3000,629631969
10,250,5219290
10,500,25025657
10,750,54257984
10,1000,86627823
10,1500,185244035
10,2000,298831955
10,2550,449945297
10,3000,639234895
11,250,6980756
11,500,34326238
11,750,86915319
11,1000,93400992
11,1500,192510191
11,2000,524779125
11,2550,469165995
11,3000,702800995
12,250,4118416
12,500,23966798
12,750,56205124
12,1000,148754402
12,1500,289408944
12,2000,388117147
12,2550,501134498
12,3000,750199669
13,250,4275897
13,500,22359439
13,750,65656836
13,1000,108745827
13,1500,198375142
13,2000,334498260
13,2550,459537347
13,3000,637114613
14,250,3757944
14,500,20640406
14,750,55811905
14,1000,91042739
14,1500,207418678
14,2000,317095815
14,2550,474145420
14,3000,639980777
15,250,4138740
15,500,20109183
15,750,58383253
15,1000,92659740
15,1500,186765159
15,2000,307491839
15,2550,503548637
15,3000,630129526
16,250,3914754
16,500,11878356
16,750,55814015
16,1000,95732252
16,1500,191473774
16,2000,300792484
16,2550,464931956
16,3000,756998483
17,250,4196362
17,500,22950590
17,750,60379593
17,1000,101096327
17,1500,196004947
17,2000,337277687
17,2550,434737840
17,3000,640108200
18,250,4176258
18,500,23193258
18,750,54148694
18,1000,91616785
18,1500,198217652
18,2000,325048516
18,2550,423701767
18,3000,670152582
19,250,4238421
19,500,24322690
19,750,56627331
19,1000,93825160
19,1500,185995133
19,2000,316180768
19,2550,469119003
19,3000,677539058
20,250,4209571
20,500,23450966
20,750,45269748
20,1000,80209205
20,1500,188582142
20,2000,307976679
20,2550,471127881
20,3000,627279478
